,Date,Country,City,Specie,count,min,max,median,variance
714154,12/06/2020,IN,Thrissur,so2,72,1.3,16.3,2.7,167.53
714155,03/01/2020,IN,Thrissur,so2,13,0.9,35.1,11.2,1221.16
714156,20/02/2020,IN,Thrissur,so2,24,0.2,25.7,2.4,238.49
714157,10/03/2020,IN,Thrissur,so2,24,2.6,4.9,3.1,5.58
714158,17/04/2020,IN,Thrissur,so2,72,1.6,9.8,2.9,98.69
714159,10/06/2020,IN,Thrissur,so2,72,1.2,13.6,2.6,187.09
714160,15/06/2020,IN,Thrissur,so2,52,1.4,15.8,2.7,159.7
714161,16/01/2020,IN,Thrissur,so2,14,0.1,27.4,1.4,514.85
714162,26/01/2020,IN,Thrissur,so2,24,0.1,4.1,2.7,14.73
714163,16/03/2020,IN,Thrissur,so2,24,0.9,4.3,3.2,11.33
714164,18/05/2020,IN,Thrissur,so2,72,1.3,8.7,3.0,43.57
714165,03/06/2020,IN,Thrissur,so2,72,1.1,8.6,2.8,70.21
714166,12/02/2020,IN,Thrissur,so2,24,1.2,6.2,3.2,17.85
714167,15/03/2020,IN,Thrissur,so2,24,1.4,4.3,2.9,6.7
714168,28/03/2020,IN,Thrissur,so2,43,1.6,4.3,1.8,8.02
714169,03/05/2020,IN,Thrissur,so2,51,1.2,10.2,1.6,133.07
714170,20/05/2020,IN,Thrissur,so2,60,1.4,7.6,3.2,44.58
714171,12/04/2020,IN,Thrissur,so2,64,1.6,9.5,2.7,79.68
714172,17/05/2020,IN,Thrissur,so2,72,1.5,14.1,3.1,61.97
714173,30/12/2019,IN,Thrissur,so2,14,0.9,25.0,11.5,648.41
714174,08/01/2020,IN,Thrissur,so2,15,0.1,33.4,7.4,952.13
