date,pm25,pm10,o3,no2,so2,co,city
2020-06-06,7,2,0,10,3,0,mussoorie
2020-06-07,10,2,0,10,3,0,mussoorie
2020-06-08,9,3,0,10,3,0,mussoorie
2020-06-09,13,3,0,9,3,0,mussoorie
2020-06-10,14,3,0,10,3,0,mussoorie
2020-06-11,15,4,0,10,3,0,mussoorie
2020-06-12,18,4,0,9,3,0,mussoorie
2020-06-13,15,3,0,10,3,0,mussoorie
2020-06-14,13,3,0,9,3,0,mussoorie
2020-06-15,15,3,0,9,3,0,mussoorie
2020-06-16,13,3,0,9,3,0,mussoorie
2020-06-17,12,3,0,9,3,0,mussoorie
2020-06-18,14,3,0,10,3,0,mussoorie
2020-06-19,11,2,0,10,3,0,mussoorie
2020-06-20,10,2,0,9,3,0,mussoorie
2020-06-21,10,2,0,9,2,0,mussoorie
2020-06-22,10,2,0,9,2,0,mussoorie
