,city,date,value
80,jind,2019-12-20,-4.064
81,jind,2019-12-21,-6.061
82,jind,2019-12-22,-3.799
83,jind,2019-12-23,7.127999999999999
84,jind,2019-12-24,11.267000000000001
85,jind,2019-12-25,-6.165
86,jind,2019-12-26,-8.8
87,jind,2019-12-27,4.2219999999999995
88,jind,2019-12-28,2.3169999999999997
89,jind,2019-12-29,-7.351
