,Unnamed: 0,Date,Country,City,Specie,count,min,max,median,variance
3195,202639,2021-05-07,IN,Hyderabad,pressure,144,705.2,1016.0,711.0,126808.0
3196,202640,2021-05-14,IN,Hyderabad,pressure,144,700.0,1010.0,706.7,125548.0
3197,202641,2021-05-02,IN,Hyderabad,pressure,144,705.0,1015.0,710.2,126341.0
3198,202642,2021-05-16,IN,Hyderabad,pressure,138,700.0,1010.0,708.0,129670.0
3199,202643,2021-01-16,IN,Hyderabad,pressure,135,706.0,1016.5,712.0,91381.7
3200,202644,2021-02-21,IN,Hyderabad,pressure,112,708.0,1021.0,716.0,113931.0
3201,202645,2021-03-03,IN,Hyderabad,pressure,136,-3154.6,1693.0,714.0,1481760.0
3202,202646,2021-03-12,IN,Hyderabad,pressure,109,704.5,1020.0,713.7,117426.0
3203,202647,2021-03-19,IN,Hyderabad,pressure,137,705.2,1017.0,711.7,100780.0
3204,202648,2021-04-21,IN,Hyderabad,pressure,144,704.2,1014.0,710.5,124682.0
3205,202649,2021-05-17,IN,Hyderabad,pressure,127,702.5,1012.0,709.0,138883.0
3206,202650,2021-05-31,IN,Hyderabad,pressure,127,699.0,1009.0,708.0,137704.0
3207,202651,2021-01-28,IN,Hyderabad,pressure,130,702.0,1019.5,714.0,100781.0
3208,202652,2021-02-09,IN,Hyderabad,pressure,136,705.7,1021.0,714.2,96858.3
3209,202653,2021-04-04,IN,Hyderabad,pressure,136,704.0,1173.7,710.2,137821.0
3210,202654,2021-06-09,IN,Hyderabad,pressure,144,700.2,1010.0,706.2,124292.0
3211,202655,2021-06-16,IN,Hyderabad,pressure,24,697.5,714.0,704.0,327.64
3212,202656,2021-02-18,IN,Hyderabad,pressure,130,707.0,1498.0,714.0,186929.0
3213,202657,2021-03-26,IN,Hyderabad,pressure,144,704.7,1016.0,711.5,127412.0
3214,202658,2021-04-25,IN,Hyderabad,pressure,144,704.2,1010.3,710.5,124335.0
3215,202659,2021-04-28,IN,Hyderabad,pressure,144,703.2,1013.5,711.0,125342.0
3216,202660,2021-05-27,IN,Hyderabad,pressure,144,697.7,1007.0,706.0,124245.0
3217,202661,2021-06-02,IN,Hyderabad,pressure,121,702.7,1012.0,710.0,142881.0
3218,202662,2021-02-07,IN,Hyderabad,pressure,135,707.5,1021.0,715.0,92253.9
3219,202663,2021-01-20,IN,Hyderabad,pressure,133,19.5,1019.0,194.8,1174630.0
3220,202664,2021-01-29,IN,Hyderabad,pressure,127,706.2,1020.0,714.0,102958.0
3221,202665,2021-03-17,IN,Hyderabad,pressure,123,705.2,1016.0,710.7,110574.0
3222,202666,2021-03-22,IN,Hyderabad,pressure,136,706.0,1017.0,712.0,96382.9
3223,202667,2021-04-01,IN,Hyderabad,pressure,136,700.7,1011.0,707.0,95065.9
3224,202668,2021-05-08,IN,Hyderabad,pressure,144,705.0,1015.0,710.0,128271.0
3225,202669,2021-01-04,IN,Hyderabad,pressure,136,623.5,1018.0,713.7,97576.4
3226,202670,2021-01-12,IN,Hyderabad,pressure,119,706.0,1019.0,714.2,113713.0
3227,202671,2021-02-17,IN,Hyderabad,pressure,131,707.0,1048.7,713.0,122600.0
3228,202672,2021-02-20,IN,Hyderabad,pressure,112,708.5,1020.0,715.5,113615.0
3229,202673,2021-02-22,IN,Hyderabad,pressure,126,707.2,1124.5,716.0,121248.0
3230,202674,2021-04-07,IN,Hyderabad,pressure,136,703.5,1017.0,711.5,96512.0
3231,202675,2021-05-13,IN,Hyderabad,pressure,138,699.5,1010.0,707.0,128302.0
3232,202676,2021-06-14,IN,Hyderabad,pressure,118,696.2,1007.0,707.5,126653.0
3233,202677,2021-01-19,IN,Hyderabad,pressure,136,16.8,1019.0,29.4,1124650.0
3234,202678,2021-01-24,IN,Hyderabad,pressure,92,705.5,1018.0,714.0,133369.0
3235,202679,2021-02-01,IN,Hyderabad,pressure,120,708.2,727.5,714.5,205.42
3236,202680,2021-03-23,IN,Hyderabad,pressure,136,706.0,1018.0,713.0,96713.2
3237,202681,2021-02-02,IN,Hyderabad,pressure,120,708.0,727.7,715.5,214.46
3238,202682,2021-02-15,IN,Hyderabad,pressure,121,705.7,1018.0,714.0,106299.0
3239,202683,2021-03-28,IN,Hyderabad,pressure,138,703.7,1015.0,710.2,126999.0
3240,202684,2021-04-14,IN,Hyderabad,pressure,108,704.5,1017.5,713.5,116446.0
3241,202685,2021-06-06,IN,Hyderabad,pressure,144,704.0,1011.0,709.0,125518.0
3242,202686,2020-12-29,IN,Hyderabad,pressure,136,706.2,1018.0,713.2,96582.3
3243,202687,2021-03-08,IN,Hyderabad,pressure,120,705.2,1018.0,713.2,118996.0
3244,202688,2021-05-29,IN,Hyderabad,pressure,122,701.7,1011.0,708.7,143182.0
3245,202689,2021-06-12,IN,Hyderabad,pressure,104,698.0,1008.0,709.0,159459.0
3246,202690,2021-01-14,IN,Hyderabad,pressure,137,706.0,1019.0,713.0,101006.0
3247,202691,2021-01-26,IN,Hyderabad,pressure,112,705.0,1019.0,714.0,113157.0
3248,202692,2021-02-10,IN,Hyderabad,pressure,120,706.0,1018.0,713.0,107694.0
3249,202693,2021-03-18,IN,Hyderabad,pressure,137,704.5,1016.0,711.5,100874.0
3250,202694,2021-05-03,IN,Hyderabad,pressure,122,705.2,1015.0,711.0,93593.5
3251,202695,2021-05-21,IN,Hyderabad,pressure,140,701.2,1011.0,707.0,129698.0
3252,202696,2021-01-15,IN,Hyderabad,pressure,136,706.2,1017.5,712.7,96340.1
3253,202697,2021-02-05,IN,Hyderabad,pressure,137,707.0,1021.0,714.5,101295.0
3254,202698,2021-01-22,IN,Hyderabad,pressure,113,705.7,1018.0,714.0,118377.0
3255,202699,2021-02-16,IN,Hyderabad,pressure,136,705.0,1205.2,712.5,111561.0
3256,202700,2021-03-21,IN,Hyderabad,pressure,136,706.0,1016.0,711.0,96291.5
3257,202701,2021-04-19,IN,Hyderabad,pressure,143,705.0,1012.0,710.2,121702.0
3258,202702,2021-05-11,IN,Hyderabad,pressure,141,701.0,1011.0,708.0,122933.0
3259,202703,2021-05-12,IN,Hyderabad,pressure,144,699.0,1011.0,707.0,125946.0
