,Date,Country,City,Specie,count,min,max,median,variance
3579,08/02/2020,IN,Hyderabad,pm25,144,64.0,159.0,108.0,6823.72
3580,24/02/2020,IN,Hyderabad,pm25,120,38.0,153.0,95.0,5140.25
3581,27/02/2020,IN,Hyderabad,pm25,120,69.0,155.0,105.0,5581.43
3582,10/03/2020,IN,Hyderabad,pm25,144,29.0,136.0,76.0,4799.65
3583,08/05/2020,IN,Hyderabad,pm25,120,43.0,159.0,79.0,5517.73
3584,17/05/2020,IN,Hyderabad,pm25,118,47.0,163.0,83.0,8640.93
3585,27/03/2020,IN,Hyderabad,pm25,108,61.0,152.0,97.0,4482.42
3586,17/04/2020,IN,Hyderabad,pm25,140,53.0,152.0,106.0,4744.76
3587,22/04/2020,IN,Hyderabad,pm25,144,37.0,137.0,75.0,2755.51
3588,27/05/2020,IN,Hyderabad,pm25,109,62.0,121.0,89.0,1531.31
3589,12/05/2020,IN,Hyderabad,pm25,144,38.0,165.0,85.0,9686.2
3590,12/02/2020,IN,Hyderabad,pm25,144,80.0,167.0,142.0,4590.38
3591,20/02/2020,IN,Hyderabad,pm25,120,78.0,159.0,127.0,3974.95
3592,03/03/2020,IN,Hyderabad,pm25,43,100.0,167.0,139.0,3263.61
3593,11/03/2020,IN,Hyderabad,pm25,144,40.0,156.0,86.0,7780.97
3594,18/03/2020,IN,Hyderabad,pm25,128,3.0,161.0,87.0,11624.5
3595,10/04/2020,IN,Hyderabad,pm25,115,36.0,154.0,65.0,3108.05
3596,26/04/2020,IN,Hyderabad,pm25,143,59.0,130.0,84.0,2371.37
3597,23/06/2020,IN,Hyderabad,pm25,135,25.0,153.0,69.0,3884.51
3598,16/01/2020,IN,Hyderabad,pm25,102,43.0,164.0,98.0,9928.45
3599,05/02/2020,IN,Hyderabad,pm25,119,34.0,153.0,87.0,5528.89
3600,07/02/2020,IN,Hyderabad,pm25,141,63.0,153.0,89.0,5668.5
3601,19/02/2020,IN,Hyderabad,pm25,130,85.0,208.0,125.0,6908.28
3602,26/03/2020,IN,Hyderabad,pm25,118,50.0,137.0,85.0,3300.5
3603,01/04/2020,IN,Hyderabad,pm25,102,83.0,164.0,125.0,6008.65
3604,09/05/2020,IN,Hyderabad,pm25,135,28.0,165.0,80.0,8416.01
3605,20/06/2020,IN,Hyderabad,pm25,144,30.0,121.0,70.0,2783.34
3606,28/01/2020,IN,Hyderabad,pm25,131,75.0,169.0,142.0,5974.02
3607,30/01/2020,IN,Hyderabad,pm25,116,103.0,167.0,158.0,1687.84
3608,16/02/2020,IN,Hyderabad,pm25,120,95.0,200.0,154.0,4112.59
3609,12/03/2020,IN,Hyderabad,pm25,144,30.0,165.0,87.0,9430.38
3610,28/04/2020,IN,Hyderabad,pm25,125,31.0,122.0,71.0,2454.94
3611,01/06/2020,IN,Hyderabad,pm25,96,10.0,162.0,89.0,12770.1
3612,17/06/2020,IN,Hyderabad,pm25,136,5.0,75.0,40.0,2666.32
3613,07/06/2020,IN,Hyderabad,pm25,120,46.0,125.0,65.0,1260.88
3614,11/02/2020,IN,Hyderabad,pm25,144,66.0,163.0,114.0,7162.48
3615,22/02/2020,IN,Hyderabad,pm25,115,40.0,137.0,87.0,4750.77
3616,08/04/2020,IN,Hyderabad,pm25,81,25.0,95.0,71.0,1696.03
3617,12/04/2020,IN,Hyderabad,pm25,125,53.0,164.0,97.0,7384.1
3618,14/04/2020,IN,Hyderabad,pm25,141,56.0,161.0,102.0,5808.31
3619,03/05/2020,IN,Hyderabad,pm25,120,57.0,157.0,94.0,4267.59
3620,22/05/2020,IN,Hyderabad,pm25,88,40.0,169.0,93.0,12309.7
3621,31/05/2020,IN,Hyderabad,pm25,87,38.0,138.0,80.0,3319.06
